project,classification_count,in_progress
Andromeda Project,1912609,false
Asteroid Zoo,2187950,true
Bat Detective,392654,true
Cancer: Cell Slider,2582608,false
Cancer: Gene Runner,3086968,true
Cancer: Hard Cell,136782,false
Cancer: Impossible line,5976,false
Chicago Wildlife Watch,1820588,true
Chimp and See,1422283,true
Condor Watch,379144,true
Cyclone Center,487475,true
Disk Detective,1463602,true
Floating Forests,2214375,true
Galaxy Zoo 2,14646563,false
Galaxy Zoo 4+,19770205,true
Galaxy Zoo,77655600,false
Galaxy Zoo: Hubble,9271681,false
Galaxy Zoo: Quench,121580,true
Higgs Hunter,885984,true
MicroPlants,33469,true
Milky Way Project,1912987,false
Notes from Nature,840739,true
Operation War Diary,642545,true
Orchid Observers,31161,true
Penguin Watch,2602841,true
Planet Four,4741131,true
Planet Four: Craters,28776,false
Planet Hunters,3031666,true
Plankton Portal,966458,true
Radio Galaxy Zoo,1318519,true
Science Gossip,289591,true
Seafloor Explorer,2576266,false
Snapshot Serengeti,17890865,false
SpaceWarps,18278474,true
Star Date: M83,52258,false
Sunspotter,3986148,true
Worm Watch Lab,651061,true
